fight_id,event_id,event_name,event_date,weight_class,title_fight,winner_id,method,finish_round,rounds_fought,fighter_id,fighter_name,fighter_nick_name,height,weight_lbs,reach_inches,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,kd,sig_landed,sig_atmp,str_landed,str_atmp,td_landed,td_atmp,sub_att,rev,total_sig_str_landed_head,total_sig_str_atmp_head,total_sig_str_landed_body,total_sig_str_atmp_body,total_sig_str_landed_leg,total_sig_str_atmp_leg,total_sig_str_landed_distance,total_sig_str_atmp_distance,total_sig_str_landed_clinch,total_sig_str_atmp_clinch,total_sig_str_landed_ground,total_sig_str_atmp_ground,ctrl_seconds,opponent_id,opponent_name,won,fight_seconds,prior_sig_landed_sum,prior_sig_atmp_sum,prior_str_landed_sum,prior_str_atmp_sum,prior_td_landed_sum,prior_td_atmp_sum,prior_sub_att_sum,prior_kd_sum,prior_rev_sum,prior_ctrl_seconds_sum,prior_fight_seconds_sum,prior_won_sum,prior_fight_count,pre_slpm,pre_sapm,pre_str_acc,pre_td_avg,pre_td_acc,pre_sub_avg,pre_kd_avg,pre_ctrl_pct,pre_win_pct,age_at_fight,opp_sig_landed,opp_sig_atmp,opp_td_landed,opp_td_atmp,prior_opp_sig_landed_sum,prior_opp_sig_atmp_sum,prior_opp_td_landed_sum,prior_opp_td_atmp_sum,pre_str_def,pre_td_def
990de0c502b78823,443835675e8fc6ca,Road To UFC 5.1,2026-05-28,Bantamweight,0,000774e57404d8c7,Submission,2,2,000774e57404d8c7,Chungreng Koren,The Indian Rhino,"5' 6""",135.0,67.0,Orthodox,1998-02-01,6.78,54,4.56,39,10.0,46,0,1.7,1,61,111,68,120,6,13,1,0,55,100,3,4,3,7,16,48,3,5,42,58,284,f1a9c0998c683782,Ryuho Miyaguchi,1,600,,,,,,,,,,,,,0,,,,,,,,,,28.317590691307323,41,68,0,0,,,,,,
0e8599eca8ccfa32,18c49685296c60e6,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,Lightweight,0,e2be0c1a9b886d92,Decision - Unanimous,3,3,001eb2ab0f30e7ea,Mark Choinski,The Shark,"5' 8""",155.0,69.0,Orthodox,1995-10-22,3.87,50,7.33,33,2.0,18,0,0.0,0,58,114,64,120,2,11,0,0,48,102,7,9,3,3,54,106,2,6,2,2,279,e2be0c1a9b886d92,MarQuel Mederos,0,900,,,,,,,,,,,,,0,,,,,,,,,,29.626283367556468,110,165,0,0,,,,,,
bc01ce748a5723df,9e0f28d1f639ad73,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Bantamweight,0,a4de54ea806fb525,Decision - Unanimous,3,3,002ca196477ce572,Gabriel Silva,,"5' 6""",135.0,71.0,Orthodox,1994-08-26,1.3,34,3.47,45,1.5,25,38,0.5,0,8,16,58,76,1,6,0,1,7,14,0,1,1,1,6,12,2,4,0,0,266,a4de54ea806fb525,Ray Borg,0,900,,,,,,,,,,,,,0,,,,,,,,,,24.89801505817933,15,23,6,9,,,,,,
0e3af9b5e1b3ae80,fc9a9559a05f2704,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29,Bantamweight,0,60425d07ef4b91a7,Decision - Unanimous,3,3,002ca196477ce572,Gabriel Silva,,"5' 6""",135.0,71.0,Orthodox,1994-08-26,1.3,34,3.47,45,1.5,25,38,0.5,0,31,97,43,112,2,6,1,0,22,85,6,9,3,3,27,89,1,3,3,5,148,60425d07ef4b91a7,Kyler Phillips,0,900,8.0,16.0,58.0,76.0,1.0,6.0,0.0,0.0,1.0,266.0,900.0,0.0,1,0.5333333333333333,1.0,0.5,1.0,0.16666666666666666,0.0,0.0,0.29555555555555557,0.0,25.51129363449692,89,168,2,4,15.0,23.0,6.0,9.0,0.34782608695652173,0.33333333333333337
be575baad34db0d7,c76ceda100ac0fad,DWCS 3.6,2019-07-30,Featherweight,0,003d82fa384ca1d0,KO/TKO,3,3,003d82fa384ca1d0,Aalon Cruz,,"6' 0""",145.0,78.0,Switch,1989-09-20,7.58,39,8.88,58,0.0,0,0,0.0,1,132,328,132,328,0,4,0,0,81,255,36,56,15,17,130,323,1,3,1,2,0,69037fc7730e4225,Steven Nguyen,1,900,,,,,,,,,,,,,0,,,,,,,,,,29.856262833675565,92,290,0,0,,,,,,
0bcb04163f8d8ead,fc9a9559a05f2704,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29,Featherweight,0,be68b375707dcb85,KO/TKO,1,1,003d82fa384ca1d0,Aalon Cruz,,"6' 0""",145.0,78.0,Switch,1989-09-20,7.58,39,8.88,58,0.0,0,0,0.0,0,2,12,2,12,0,1,0,0,2,4,0,4,0,4,2,12,0,0,0,0,5,be68b375707dcb85,Spike Carlyle,0,300,132.0,328.0,132.0,328.0,0.0,4.0,0.0,1.0,0.0,0.0,900.0,1.0,1,8.8,6.133333333333334,0.4024390243902439,0.0,0.0,0.0,1.0,0.0,1.0,30.442162902121833,20,29,0,0,92.0,290.0,0.0,0.0,0.6827586206896552,
e2abba69c3371618,6e2b1d631832921d,UFC 259: Blachowicz vs. Adesanya,2021-03-06,Lightweight,0,681399317dbf4701,KO/TKO,1,1,003d82fa384ca1d0,Aalon Cruz,,"6' 0""",145.0,78.0,Switch,1989-09-20,7.58,39,8.88,58,0.0,0,0,0.0,0,0,3,0,3,0,2,0,0,0,2,0,1,0,0,0,3,0,0,0,0,11,681399317dbf4701,Uros Medic,0,300,134.0,340.0,134.0,340.0,0.0,5.0,0.0,1.0,0.0,5.0,1200.0,1.0,2,6.7,5.6,0.3941176470588235,0.0,0.0,0.0,0.75,0.004166666666666667,0.5,31.457905544147845,45,63,0,0,112.0,319.0,0.0,0.0,0.6489028213166144,
f4f5049e789b7716,47b7e4e60813b7b2,UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Welterweight,0,1bcaac2d99b90fce,Decision - Unanimous,3,3,0052de90691d4a93,Davi Ramos,Tasmanian Devil,"5' 6""",155.0,70.0,Orthodox,1986-11-05,2.64,37,3.44,56,1.95,40,83,0.6,0,35,122,35,122,0,1,0,0,21,97,7,17,7,8,35,122,0,0,0,0,0,1bcaac2d99b90fce,Sergio Moraes,0,900,,,,,,,,,,,,,0,,,,,,,,,,30.34633812457221,39,93,0,0,,,,,,
f9536ea60551b840,bcd124bcd3d5be46,UFC Fight Night: Swanson vs. Ortega,2017-12-09,Lightweight,0,0052de90691d4a93,Submission,3,3,0052de90691d4a93,Davi Ramos,Tasmanian Devil,"5' 6""",155.0,70.0,Orthodox,1986-11-05,2.64,37,3.44,56,1.95,40,83,0.6,0,55,124,65,136,5,9,1,0,49,117,4,5,2,2,44,105,9,13,2,6,233,feaf00f3373435d6,Chris Gruetzemacher,1,900,35.0,122.0,35.0,122.0,0.0,1.0,0.0,0.0,0.0,0.0,900.0,0.0,1,2.3333333333333335,2.6,0.28688524590163933,0.0,0.0,0.0,0.0,0.0,0.0,31.093771389459274,46,97,0,0,39.0,93.0,0.0,0.0,0.5806451612903225,
5ea39e0fc3b64e83,67ec58d7cf599835,UFC 224: Nunes vs. Pennington,2018-05-12,Lightweight,0,0052de90691d4a93,Submission,1,1,0052de90691d4a93,Davi Ramos,Tasmanian Devil,"5' 6""",155.0,70.0,Orthodox,1986-11-05,2.64,37,3.44,56,1.95,40,83,0.6,0,6,12,13,21,1,1,1,0,5,9,1,3,0,0,5,11,0,0,1,1,130,2816ced060a21be3,Nick Hein,1,300,90.0,246.0,100.0,258.0,5.0,10.0,1.0,0.0,0.0,233.0,1800.0,1.0,2,3.0,2.8333333333333335,0.36585365853658536,2.5,0.5,0.5,0.0,0.12944444444444445,0.5,31.515400410677618,1,6,0,0,85.0,190.0,0.0,0.0,0.5526315789473684,
