fighter_id,fighter_name,fighter_nick_name,height,weight_lbs,reach_inches,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
ad32471f01e7b1a5,Jeremy Jackson,Scorpion,"5' 10""",170,,Orthodox,1982-09-19,0.71,27,2.03,25,1.52,40,58,0.0
13b2f59210dda9cc,Kevin Jackson,,"5' 10""",199,,Switch,1964-11-25,0.0,0,0.0,0,0.0,0,0,0.0
b4eeac608fc82f88,Yves Jabouin,Tiger,"5' 7""",135,68,Orthodox,1979-05-30,3.06,41,2.93,62,1.94,60,82,0.1
ffc088e64fab57e9,Quinton Jackson,Rampage,"6' 1""",205,73,Orthodox,1978-06-20,3.25,54,2.51,55,1.52,56,73,0.1
56c5132870a526d5,Kenyon Jackson,,"6' 0""",185,,,,0.0,0,0.0,0,0.0,0,0,0.0
29af297d9f1de0f8,Damon Jackson,The Leech,"5' 11""",155,71,Switch,1988-08-08,2.96,42,3.47,49,2.3,32,37,1.2
ce783bf73b5131f9,Eugene Jackson,The Wolf,"5' 8""",185,,Orthodox,1966-09-23,2.19,33,3.44,32,1.91,71,16,2.3
0641c21bec209472,Mike Jackson,The Truth,"6' 2""",170,74,Orthodox,1985-03-22,4.49,57,3.73,62,0.71,33,88,0.0
ca8da445dfa82d56,Jason Jackson,Jah-Son,"6' 1""",170,78,Orthodox,1990-10-30,2.24,48,1.31,56,0.0,0,0,0.0
46f557bd44da630e,Richard Jacobi,,"6' 4""",260,75,Orthodox,1993-09-28,0.88,44,3.94,51,3.28,100,100,0.0
ba17afef01ed78b6,Eric Jacob,,,155,,,,0.0,0,0.0,0,0.0,0,0,0.0
1ea8df62b3f8fea6,Justin James,,"5' 10""",155,,Orthodox,1976-11-08,1.34,36,2.68,50,0.0,0,50,1.6
cc1a8b4b38b92c6d,Montel Jackson,Quik,"5' 10""",135,75,Southpaw,1992-04-24,3.02,52,1.4,60,2.71,63,67,0.3
335ad945324c3a2e,Dave Jansen,,"5' 9""",155,73,Orthodox,1979-08-21,2.94,33,3.67,58,2.79,28,38,0.9
a34fecf2f4e5a317,Nate James,,"6' 0""",185,,,1978-05-29,1.33,42,2.67,28,0.0,0,44,0.0
99d5cf1eda8b25c1,Gigo Jara,The Little Animal,"5' 9""",145,,,,2.26,57,2.71,51,0.0,0,66,0.0
805ad1801eb26abb,Jaime Jara,El Cucui,"6' 1""",205,,Southpaw,1969-08-02,2.2,60,1.47,56,0.0,0,25,0.0
64959f90b6dd9759,Brock Jardine,The Machine,"5' 11""",170,,Orthodox,1985-07-10,1.06,30,3.34,56,0.0,0,14,0.8
b9d0fd83bb8a147a,Keith Jardine,The Dean of Mean,"6' 2""",185,76,Orthodox,1975-10-31,3.25,36,2.98,59,1.18,45,62,0.7
32e8e0e8498f03c2,Josh Jarvis,,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
c7b0081edfef4bc7,YunSeong Jang,,"6' 0""",170,72,Orthodox,2002-11-04,2.53,41,4.13,51,2.0,50,90,0.0
b71ce838b01f2cad,Rony Jason,,"5' 7""",145,73,Orthodox,1984-03-21,2.04,44,3.14,53,0.59,30,36,0.8
e4277e87a789d687,Dustin Jacoby,The Hanyak,"6' 3""",205,76,Orthodox,1988-04-04,5.31,47,4.02,57,0.3,25,62,0.0
7dda2cf308f24a02,Virna Jandiroba,Carcara,"5' 3""",115,64,Orthodox,1988-05-30,2.27,41,2.86,55,3.13,39,72,1.4
0e8744ded08ee5fb,Louis Jauregui,,"5' 7""",170,,,,0.0,0,0.0,0,0.0,0,0,0.0
a9e260472d321361,Jasmine Jasudavicius,,"5' 7""",125,68,Orthodox,1989-03-01,3.47,44,3.46,51,2.63,46,75,0.5
b59037262c8fe060,Ryan Janes,,"6' 3""",185,76,Orthodox,1981-08-22,7.69,48,5.53,59,0.35,100,58,0.0
8f7380fb0916dc77,Josh Janousek,,"5' 11""",185,,Orthodox,1980-09-25,0.0,0,0.0,0,0.0,0,0,0.0
ccdcb20370be62a3,Aaron Jeffery,,"6' 2""",185,73,Orthodox,1992-11-14,3.1,45,4.46,34,0.0,0,50,0.0
304a21d0595e1a08,Justin Jaynes,The Guitar Hero,"5' 7""",145,68,Orthodox,1989-08-10,3.34,44,5.33,62,0.75,40,20,1.1
dfcadfcbd3a3f097,Milos Janicic,The Cobra,"5' 11""",155,71,Orthodox,1997-05-03,4.44,31,3.7,54,0.0,0,0,0.0
40cb680ae1cd331f,Yazmin Jauregui,,"5' 3""",115,64,Orthodox,1999-02-28,6.64,39,5.25,54,0.0,0,100,0.0
5e841bb3752b6e86,Bubba Jenkins,The Highlight Kid,"5' 7""",145,,,1988-02-05,2.41,37,1.58,67,7.23,68,100,0.0
dae85a6a83f53215,Adrienna Jenkins,AJ,"5' 8""",145,,,1981-07-22,0.0,0,0.0,0,0.0,0,0,0.0
02fc8f50f56eb307,Trent Jenkins,,"6' 2""",185,,,,0.0,0,0.0,0,0.0,0,0,0.0
6a8928652fc01bee,Brandon Jenkins,The Human Highlight Reel,"6' 0""",155,71,Switch,1991-09-30,2.93,41,8.05,33,0.0,0,27,0.0
3d6749c4267da18f,Joanna Jedrzejczyk,,"5' 6""",115,65,Orthodox,1987-08-18,6.28,48,3.25,62,0.27,62,80,0.1
aec273fcb765330d,Kyle Jensen,,"5' 9""",170,,Orthodox,1979-07-20,0.0,0,0.92,60,6.92,100,0,6.9
ad047e3073a775f3,Steve Jennum,,"5' 10""",215,,Orthodox,1963-09-23,0.0,0,0.0,0,0.0,0,0,0.0
a9da3158dd2c2b5a,Jack Jenkins,Phar,"5' 7""",145,68,Switch,1993-11-03,4.48,61,2.95,59,1.98,60,71,0.2
aae99701b21554e4,Ryan Jensen,,"6' 1""",185,76,Orthodox,1977-09-20,2.84,39,2.99,59,1.55,50,31,1.9
a5c53b3ddb31cc7d,Art Jimmerson,,"6' 1""",196,,Orthodox,1963-08-04,0.0,0,0.0,0,0.0,0,0,0.0
6b5b9be990774f0e,Maciej Jewtuszko,Irokez,"6' 0""",155,,Southpaw,1981-01-31,2.29,45,1.39,66,0.0,0,42,0.9
