error_id,entity_type,entity_id,context,url,error_name,description,occurred_at,resolved
1,fight,fc89b69a4fe79603,,http://ufcstats.com/fight-details/fc89b69a4fe79603,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:57:43,0
2,fight,9325bcf98fa2a15e,,http://ufcstats.com/fight-details/9325bcf98fa2a15e,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:57:49,0
3,fight,6035a68279b69aeb,,http://ufcstats.com/fight-details/6035a68279b69aeb,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:57:52,0
4,fight,7ffcc3a72e082ace,,http://ufcstats.com/fight-details/7ffcc3a72e082ace,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:58:05,0
5,fight,93908423a3e7c251,,http://ufcstats.com/fight-details/93908423a3e7c251,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:58:21,0
6,fight,89229d26e5a75a32,,http://ufcstats.com/fight-details/89229d26e5a75a32,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:58:32,0
7,fight,a3355e0d592bdbbc,,http://ufcstats.com/fight-details/a3355e0d592bdbbc,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:58:39,0
8,fight,ee84a0b122cd217a,,http://ufcstats.com/fight-details/ee84a0b122cd217a,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:58:43,0
9,fight,4d7231ec867553d3,,http://ufcstats.com/fight-details/4d7231ec867553d3,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:58:58,0
10,fight,670915f96aa81e03,,http://ufcstats.com/fight-details/670915f96aa81e03,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:59:00,0
11,fight,aa96b8ec8e7266b4,,http://ufcstats.com/fight-details/aa96b8ec8e7266b4,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:59:00,0
12,fight,e08cd659a05f179c,,http://ufcstats.com/fight-details/e08cd659a05f179c,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:59:00,0
13,fight,6e56bce310375396,,http://ufcstats.com/fight-details/6e56bce310375396,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:59:00,0
14,fight,ce32437750074a04,,http://ufcstats.com/fight-details/ce32437750074a04,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:59:04,0
15,fight,8e03db41687d9132,,http://ufcstats.com/fight-details/8e03db41687d9132,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:59:42,0
16,fight,272f300e7c598e05,,http://ufcstats.com/fight-details/272f300e7c598e05,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 05:59:59,0
17,fight,79aebe1a1f24a116,,http://ufcstats.com/fight-details/79aebe1a1f24a116,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:00:00,0
18,fight,9d3b1af3fbbfa381,,http://ufcstats.com/fight-details/9d3b1af3fbbfa381,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:00:00,0
19,fight,0c760ef7447f3252,,http://ufcstats.com/fight-details/0c760ef7447f3252,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:00:14,0
20,fight,1ef98bfca49d53d5,,http://ufcstats.com/fight-details/1ef98bfca49d53d5,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:00:37,0
21,fight,635fbf57001897c7,,http://ufcstats.com/fight-details/635fbf57001897c7,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:01:11,0
22,fight,23af9fdc2bed3a68,,http://ufcstats.com/fight-details/23af9fdc2bed3a68,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:01:21,0
23,fight,77bf1e37929b0d59,,http://ufcstats.com/fight-details/77bf1e37929b0d59,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:01:24,0
24,fight,381cee4b3af63ade,,http://ufcstats.com/fight-details/381cee4b3af63ade,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:01:26,0
25,fight,c2ed5a38a690b302,,http://ufcstats.com/fight-details/c2ed5a38a690b302,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:01:26,0
26,fight,608fb46a1ec8c5ae,,http://ufcstats.com/fight-details/608fb46a1ec8c5ae,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:01:38,0
27,fight,07005006dce71011,,http://ufcstats.com/fight-details/07005006dce71011,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:01:42,0
28,fight,9f923cf0420518e6,,http://ufcstats.com/fight-details/9f923cf0420518e6,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:01:52,0
29,fight,e4fe950846b51bdf,,http://ufcstats.com/fight-details/e4fe950846b51bdf,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:01:58,0
30,fight,b89c885da2c9bce4,,http://ufcstats.com/fight-details/b89c885da2c9bce4,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:02:23,0
31,fight,994f97a075a1b600,,http://ufcstats.com/fight-details/994f97a075a1b600,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:02:23,0
32,fight,b297c3e938e1005e,,http://ufcstats.com/fight-details/b297c3e938e1005e,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:02:28,0
33,fight,34cd2d9b5eddf14f,,http://ufcstats.com/fight-details/34cd2d9b5eddf14f,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:02:39,0
34,fight,7286a725cb39945b,,http://ufcstats.com/fight-details/7286a725cb39945b,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:02:40,0
35,fight,024817f9b28943ab,,http://ufcstats.com/fight-details/024817f9b28943ab,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:02:42,0
36,fight,a4eb555e48847359,,http://ufcstats.com/fight-details/a4eb555e48847359,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:02:47,0
37,fight,ef2d2eeca1652295,,http://ufcstats.com/fight-details/ef2d2eeca1652295,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:02:59,0
38,fight,582d3304aed63b1a,,http://ufcstats.com/fight-details/582d3304aed63b1a,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:03:09,0
39,fight,f385d0fc49095e55,,http://ufcstats.com/fight-details/f385d0fc49095e55,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:03:10,0
40,fight,c73a91dcff319e6d,,http://ufcstats.com/fight-details/c73a91dcff319e6d,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:03:13,0
41,fight,f74f1e8602cf18d6,,http://ufcstats.com/fight-details/f74f1e8602cf18d6,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:03:15,0
42,fight,d029b7ec2d68d218,,http://ufcstats.com/fight-details/d029b7ec2d68d218,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:03:17,0
43,fight,e8ac219311ea7d0b,,http://ufcstats.com/fight-details/e8ac219311ea7d0b,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:03:19,0
44,fight,01d1432bdc132de1,,http://ufcstats.com/fight-details/01d1432bdc132de1,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:03:26,0
45,fight,b777e38b681f52de,,http://ufcstats.com/fight-details/b777e38b681f52de,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:03:28,0
